id	work_id	kind	source_page_url	source_media_url	local_path	derivative_path	width	height	mime_type	bytes	sha256	credit	rights_status	archive_status	failure_reason
img-daito-manabe--dissonant-imaginary--2018--001	daito-manabe--dissonant-imaginary--2018	data_visualization	https://daito.ws/en/archive/dissonant-imaginary/	https://daito.ws/assets/archive-media/dissonant-imaginary/daitos_braindata-05b8a00dd1-display.webp?v=b53913358f	02_images/originals/daito-manabe--dissonant-imaginary--2018/001.webp	02_images/derivatives/daito-manabe--dissonant-imaginary--2018/001.webp	1111	1111	image/webp	49880	b53913358fcdced741e1f6a44a9cf10a13356f6401300c06f76e20e0d6e76c34	Studio Daito Manabe archive; brain-data visualization	needs_review	downloaded	
img-daito-manabe--morphecore--2018--001	daito-manabe--morphecore--2018	documentation	https://daito.ws/en/archive/morphecore/	https://daito.ws/assets/archive-media/morphecore/morphechore_4-a830998221-display.webp?v=8f6365bfa2	02_images/originals/daito-manabe--morphecore--2018/001.webp	02_images/derivatives/daito-manabe--morphecore--2018/001.webp	1600	902	image/webp	424358	8f6365bfa29605b276c0a33f9adcc517b53b422733431f87fa22e4e44daa51ba	Daito Manabe + Shingo Oono + MIKIKO	needs_review	downloaded	
img-daito-manabe--terminal-slam--2020--001	daito-manabe--terminal-slam--2020	video_cover	https://daito.ws/projects/selected-works/terminal-slam/en/	https://daito.ws/projects/selected-works/terminal-slam/assets/hero-rhizomatiks-en.webp	02_images/originals/daito-manabe--terminal-slam--2020/001.webp	02_images/derivatives/daito-manabe--terminal-slam--2020/001.webp	1200	630	image/webp	179872	ce531e199ecc7daa5c5818c32a33a4ff79758f35b450ab9ab84334316159c3bf	Squarepusher / Warp Records; Rhizomatiks work record	needs_review	downloaded	
img-daito-manabe--tokyo-2020-2021--2021--001	daito-manabe--tokyo-2020-2021--2021	installation_view	https://daito.ws/projects/selected-works/tokyo2020-2021/en/	https://daito.ws/projects/selected-works/tokyo2020-2021/assets/pavilion-tokyo-01.webp	02_images/originals/daito-manabe--tokyo-2020-2021--2021/001.webp	02_images/derivatives/daito-manabe--tokyo-2020-2021--2021/001.webp	1600	1067	image/webp	168286	5d7b88f4affee1581412c55055801d663b524ef25e071da7c85212142cbb4f8a	Photo: Muryo Homma (Rhizomatiks)	needs_review	downloaded	
img-daito-manabe--border-2021--2021--001	daito-manabe--border-2021--2021	performance_view	https://daito.ws/en/archive/border-2021/	https://daito.ws/assets/archive-media/border-2021/L1390088-91f3624dd0-display.webp?v=13e106bb7b	02_images/originals/daito-manabe--border-2021--2021/001.webp	02_images/derivatives/daito-manabe--border-2021--2021/001.webp	1600	1066	image/webp	167762	13e106bb7b24fc9fe790814f629c798c37d00b535eee529f3019c9c0bbb41135	Photo: Hiroko Hirota	needs_review	downloaded	
img-daito-manabe--generative-mv--2023--001	daito-manabe--generative-mv--2023	installation_view	https://daito.ws/projects/selected-works/generative-mv/en/	https://daito.ws/projects/selected-works/generative-mv/assets/icc-hero.webp	02_images/originals/daito-manabe--generative-mv--2023/001.webp	02_images/derivatives/daito-manabe--generative-mv--2023/001.webp	1013	675	image/webp	33246	4c00d1b81b5e2476c369ce61284ce20c4ebf44b7969fac3ef0f5f4140f2ceb8f	NTT InterCommunication Center [ICC] archive; photographer not stated	needs_review	downloaded	
img-daito-manabe--transformirror--2023--001	daito-manabe--transformirror--2023	audience_interaction	https://daito.ws/projects/selected-works/transformirror/en/	https://daito.ws/projects/selected-works/transformirror/assets/transformirror-w-osaka-installation.webp	02_images/originals/daito-manabe--transformirror--2023/001.webp	02_images/derivatives/daito-manabe--transformirror--2023/001.webp	1600	1068	image/webp	115800	56cf5903931bb60152a25ee38f86888170f00eb86c55fc0d3f0ed77778b68f0b	Transformirror at W Osaka; Studio Daito Manabe archive, photographer not stated	needs_review	downloaded	
img-daito-manabe--continuum-resonance--2024--001	daito-manabe--continuum-resonance--2024	installation_view	https://daito.ws/projects/selected-works/continuum-resonance/en/	https://daito.ws/projects/selected-works/continuum-resonance/assets/en/hero-1600.webp	02_images/originals/daito-manabe--continuum-resonance--2024/001.webp	02_images/derivatives/daito-manabe--continuum-resonance--2024/001.webp	1600	900	image/webp	293454	6940a2c3c2a892f2645974d7b603cf7b2a1c4e384d4622f5bd7fde0a4b5f8570	Photo: Muryo Homma (Rhizomatiks)	needs_review	downloaded	
img-daito-manabe--phase-forms--2025--001	daito-manabe--phase-forms--2025	performance_view	https://daito.ws/en/archive/daito-manabe-phase-forms2025/	https://daito.ws/assets/archive-media/daito-manabe-phase-forms2025/0D_WLeBA-830c7dca81-display.webp?v=251aabbd87	02_images/originals/daito-manabe--phase-forms--2025/001.webp	02_images/derivatives/daito-manabe--phase-forms--2025/001.webp	1600	1067	image/webp	442754	251aabbd87662201a39145a0013635ceae29a1560c87be27462c41a5d60060f6	Photo: Sónar / Leafhopper, Juan Sabatino, Nerea Coll	needs_review	downloaded	
img-daito-manabe--brain-processing-unit--2025--001	daito-manabe--brain-processing-unit--2025	installation_view	https://daito.ws/projects/brain-processing-unit/en/	https://daito.ws/projects/selected-works/brain-processing-unit/assets/en/hero-1.jpg	02_images/originals/daito-manabe--brain-processing-unit--2025/001.jpg	02_images/derivatives/daito-manabe--brain-processing-unit--2025/001.jpg	1600	1066	image/jpeg	338197	b488bf397a0342d82fd976ede7dd40b454a567e61bb9544320cce082b0be82c5	SoftBank × Daito Manabe × The University of Tokyo; documentary photography credit listed on source page	needs_review	downloaded	
